id,vps_ip,vps_name,timestamp,status,latency_ms,cpu_percent,ram_percent,disk_percent
29810,192.168.100.33,IA LOCAL,1771097217,UP,149.71,0.03,2.2,18.32
29811,192.168.100.71,AGENTE C1 ,1771097217,UP,65.22,0.11,7.0,11.1
29809,217.76.58.149,9rounds,1771097209,UP,5563.44,100.0,29.42,22.52
29807,194.163.160.139,Quitomotors,1771097205,UP,707.49,100.0,11.15,11.12
29808,82.25.84.232,Hostinger,1771097205,UP,845.56,75.03,54.44,65.04
29800,192.168.100.33,IA LOCAL,1771097204,UP,145.27,0.03,2.2,18.32
29801,192.168.100.71,AGENTE C1 ,1771097204,UP,53.82,0.11,7.02,11.1
29802,147.93.179.212,1001Talleres,1771097204,UP,612.22,100.0,28.56,27.55
29803,154.38.191.168,Hyundai,1771097204,UP,1015.28,18.39,28.13,30.24
29804,109.199.117.80,Armacar,1771097204,UP,817.88,100.0,27.12,15.3
29805,154.38.191.23,Autocom,1771097204,UP,1056.39,100.0,28.88,26.9
29806,62.84.187.169,Kia,1771097204,UP,938.44,100.0,27.66,33.84
29797,192.168.100.71,AGENTE C1 ,1771097203,DOWN,,,,
29798,194.163.160.139,Quitomotors,1771097203,DOWN,,,,
29799,192.168.100.33,IA LOCAL,1771097203,DOWN,,,,
29796,217.76.58.149,9rounds,1771097200,DOWN,,,,
29795,82.25.84.232,Hostinger,1771097184,UP,534.46,75.03,54.26,65.04
29790,147.93.179.212,1001Talleres,1771097183,UP,560.55,100.0,28.43,27.55
29791,154.38.191.23,Autocom,1771097183,UP,839.26,100.0,28.83,26.9
29792,109.199.117.80,Armacar,1771097183,UP,805.58,100.0,27.78,15.3
29793,154.38.191.168,Hyundai,1771097183,UP,931.58,18.39,27.96,30.24
29794,62.84.187.169,Kia,1771097183,UP,944.8,100.0,27.63,33.84
29787,192.168.100.33,IA LOCAL,1771097182,UP,126.52,0.03,2.2,18.32
29788,192.168.100.71,AGENTE C1 ,1771097182,UP,45.52,0.11,7.0,11.1
29789,194.163.160.139,Quitomotors,1771097182,UP,774.63,100.0,11.17,11.12
29778,154.38.191.23,Autocom,1771097180,DOWN,,,,
29779,62.84.187.169,Kia,1771097180,DOWN,,,,
29780,109.199.117.80,Armacar,1771097180,DOWN,,,,
29781,147.93.179.212,1001Talleres,1771097180,DOWN,,,,
29782,154.38.191.168,Hyundai,1771097180,DOWN,,,,
29783,194.163.160.139,Quitomotors,1771097180,DOWN,,,,
29784,192.168.100.33,IA LOCAL,1771097180,DOWN,,,,
29785,82.25.84.232,Hostinger,1771097180,DOWN,,,,
29786,192.168.100.71,AGENTE C1 ,1771097180,DOWN,,,,
29777,217.76.58.149,9rounds,1771097176,UP,5137.48,100.0,29.49,22.52
29773,194.163.160.139,Quitomotors,1771097158,UP,794.54,100.0,11.23,11.12
29774,109.199.117.80,Armacar,1771097158,UP,892.35,100.0,27.19,15.3
29775,62.84.187.169,Kia,1771097158,UP,1009.39,100.0,27.61,33.84
29776,82.25.84.232,Hostinger,1771097158,UP,645.94,75.03,54.55,65.04
29768,192.168.100.33,IA LOCAL,1771097157,UP,153.45,0.03,2.2,18.32
29769,192.168.100.71,AGENTE C1 ,1771097157,UP,67.41,0.11,6.98,11.1
29770,147.93.179.212,1001Talleres,1771097157,UP,566.94,100.0,28.57,27.55
29771,154.38.191.23,Autocom,1771097157,UP,685.4,100.0,28.85,26.9
29772,154.38.191.168,Hyundai,1771097157,UP,724.72,18.39,27.92,30.24
29767,82.25.84.232,Hostinger,1771097146,UP,590.09,75.03,54.8,65.04
29761,154.38.191.23,Autocom,1771097145,UP,773.72,100.0,28.82,26.9
29762,154.38.191.168,Hyundai,1771097145,UP,781.76,18.39,28.04,30.24
29763,194.163.160.139,Quitomotors,1771097145,UP,845.63,100.0,11.15,11.12
29764,109.199.117.80,Armacar,1771097145,UP,934.15,100.0,27.25,15.3
29765,62.84.187.169,Kia,1771097145,UP,1018.03,100.0,27.68,33.84
29766,217.76.58.149,9rounds,1771097145,UP,1242.98,100.0,29.41,22.52
29758,192.168.100.71,AGENTE C1 ,1771097144,UP,59.93,0.11,6.98,11.1
29759,192.168.100.33,IA LOCAL,1771097144,UP,145.17,0.03,2.2,18.32
29760,147.93.179.212,1001Talleres,1771097144,UP,622.77,100.0,28.56,27.55
29756,82.25.84.232,Hostinger,1771097133,UP,531.17,75.03,54.15,65.04
29757,217.76.58.149,9rounds,1771097133,UP,1787.35,100.0,29.42,22.52
29750,147.93.179.212,1001Talleres,1771097132,UP,547.41,100.0,28.7,27.55
29751,154.38.191.168,Hyundai,1771097132,UP,794.61,18.39,28.09,30.24
29752,154.38.191.23,Autocom,1771097132,UP,870.91,100.0,28.9,26.9
29753,194.163.160.139,Quitomotors,1771097132,UP,730.29,100.0,11.15,11.12
29754,62.84.187.169,Kia,1771097132,UP,875.19,100.0,27.68,33.84
29755,109.199.117.80,Armacar,1771097132,UP,939.54,100.0,27.22,15.3
29748,192.168.100.71,AGENTE C1 ,1771097131,UP,55.33,0.11,6.99,11.1
29749,192.168.100.33,IA LOCAL,1771097131,UP,145.97,0.03,2.2,18.32
29747,217.76.58.149,9rounds,1771097121,UP,2503.31,100.0,29.28,22.52
29743,194.163.160.139,Quitomotors,1771097120,UP,833.44,100.0,11.2,11.12
29744,62.84.187.169,Kia,1771097120,UP,883.18,100.0,27.57,33.84
29745,109.199.117.80,Armacar,1771097120,UP,1087.72,100.0,26.97,15.3
29746,82.25.84.232,Hostinger,1771097120,UP,595.89,75.03,54.62,65.04
29739,192.168.100.33,IA LOCAL,1771097119,UP,161.87,0.03,2.2,18.32
29740,147.93.179.212,1001Talleres,1771097119,UP,499.52,100.0,28.59,27.55
29741,154.38.191.168,Hyundai,1771097119,UP,919.36,18.39,28.01,30.24
29742,154.38.191.23,Autocom,1771097119,UP,962.57,100.0,28.79,26.9
29738,192.168.100.71,AGENTE C1 ,1771097118,UP,63.76,0.11,6.99,11.1
29737,217.76.58.149,9rounds,1771097111,UP,4844.3,100.0,29.21,22.52
29736,82.25.84.232,Hostinger,1771097108,UP,610.97,75.03,55.41,65.04
29733,194.163.160.139,Quitomotors,1771097107,UP,841.45,100.0,11.23,11.12
29734,62.84.187.169,Kia,1771097107,UP,1021.13,100.0,27.67,33.84
29735,109.199.117.80,Armacar,1771097107,UP,1056.35,100.0,27.18,15.3
29728,192.168.100.71,AGENTE C1 ,1771097106,UP,68.37,0.11,7.0,11.1
29729,192.168.100.33,IA LOCAL,1771097106,UP,154.39,0.03,2.2,18.32
29730,147.93.179.212,1001Talleres,1771097106,UP,521.56,100.0,28.56,27.55
29731,154.38.191.23,Autocom,1771097106,UP,826.16,100.0,28.84,26.9
29732,154.38.191.168,Hyundai,1771097106,UP,865.97,18.39,27.96,30.24
29727,217.76.58.149,9rounds,1771097098,UP,4607.94,100.0,29.16,22.52
29720,82.25.84.232,Hostinger,1771097095,UP,500.08,75.03,54.31,65.04
29721,147.93.179.212,1001Talleres,1771097095,UP,524.09,100.0,28.63,27.55
29722,194.163.160.139,Quitomotors,1771097095,UP,725.9,100.0,11.28,11.12
29723,154.38.191.23,Autocom,1771097095,UP,736.33,100.0,28.92,26.9
29724,154.38.191.168,Hyundai,1771097095,UP,626.9,18.39,28.0,30.24
29725,109.199.117.80,Armacar,1771097095,UP,831.73,100.0,27.15,15.3
29726,62.84.187.169,Kia,1771097095,UP,782.69,100.0,27.58,33.84
29718,192.168.100.33,IA LOCAL,1771097094,UP,199.21,0.03,2.2,18.32
29719,192.168.100.71,AGENTE C1 ,1771097094,UP,105.98,0.11,6.99,11.1
29710,147.93.179.212,1001Talleres,1771097093,DOWN,,,,
29711,194.163.160.139,Quitomotors,1771097093,DOWN,,,,
29712,109.199.117.80,Armacar,1771097093,DOWN,,,,
29713,192.168.100.33,IA LOCAL,1771097093,DOWN,,,,
29714,192.168.100.71,AGENTE C1 ,1771097093,DOWN,,,,
29715,154.38.191.168,Hyundai,1771097093,DOWN,,,,
29716,154.38.191.23,Autocom,1771097093,DOWN,,,,
29717,62.84.187.169,Kia,1771097093,DOWN,,,,
29709,217.76.58.149,9rounds,1771097088,DOWN,,,,
29708,82.25.84.232,Hostinger,1771097073,UP,464.24,75.03,54.22,65.04
29703,154.38.191.168,Hyundai,1771097072,UP,647.4,18.39,28.09,30.24
29704,154.38.191.23,Autocom,1771097072,UP,651.28,100.0,28.81,26.9
29705,194.163.160.139,Quitomotors,1771097072,UP,727.88,100.0,11.68,11.12
29706,62.84.187.169,Kia,1771097072,UP,799.99,100.0,27.55,33.84
29707,109.199.117.80,Armacar,1771097072,UP,852.08,100.0,27.6,15.3
29700,192.168.100.33,IA LOCAL,1771097071,UP,139.62,0.03,2.2,18.32
29701,192.168.100.71,AGENTE C1 ,1771097071,UP,98.65,0.11,7.0,11.1
29702,147.93.179.212,1001Talleres,1771097071,UP,443.95,100.0,28.5,27.55
29691,147.93.179.212,1001Talleres,1771097069,DOWN,,,,
29692,154.38.191.168,Hyundai,1771097069,DOWN,,,,
29693,192.168.100.71,AGENTE C1 ,1771097069,DOWN,,,,
29694,192.168.100.33,IA LOCAL,1771097069,DOWN,,,,
29695,82.25.84.232,Hostinger,1771097069,DOWN,,,,
29696,154.38.191.23,Autocom,1771097069,DOWN,,,,
29697,194.163.160.139,Quitomotors,1771097069,DOWN,,,,
29698,109.199.117.80,Armacar,1771097069,DOWN,,,,
29699,62.84.187.169,Kia,1771097069,DOWN,,,,
29690,217.76.58.149,9rounds,1771097065,UP,4522.87,100.0,29.13,22.52
29689,82.25.84.232,Hostinger,1771097048,UP,524.92,75.03,54.3,65.04
29683,147.93.179.212,1001Talleres,1771097047,UP,457.17,100.0,28.59,27.55
29684,154.38.191.168,Hyundai,1771097047,UP,713.88,18.39,28.03,30.24
29685,154.38.191.23,Autocom,1771097047,UP,834.18,100.0,28.79,26.9
